path_name,distance_km,tx_m,rx_m,ground,friis_peak_uV,friis_eq_uV,sn_peak_uV,sn_eq_uV,fock_peak_uV,fock_eq_uV,fock_eq_snr_dB,noise_floor_uV,status
Kleve→Spalding,440,111,6000,land,13320.4720,1494.5815,42300.4828,4746.1922,165.9508,18.6200,47.3851,0.079471,USABLE
Kleve→Retford,512,111,6000,land,11447.2807,1284.4060,32958.3959,3697.9928,13.6545,1.5321,25.6910,0.079471,USABLE
Kleve→Derby,529,111,6000,land,11079.4096,1243.1302,31172.4088,3497.6018,7.5830,0.850831,20.5823,0.079471,USABLE
Kleve→Birmingham,550,111,6000,land,10656.3776,1195.6652,29147.6287,3270.4177,3.6696,0.411733,14.2778,0.079471,USABLE
Stollberg→Beeston,694,72,6000,sea,8445.2560,947.5733,7906.3877,887.1113,0.190929,0.021423,-11.3971,0.079471,DEAD
Stollberg→Derby,711,72,6000,sea,8243.3301,924.9168,7609.5307,853.8034,0.118691,0.013317,-15.5261,0.079471,DEAD
Stollberg→Birmingham,754,72,6000,sea,7773.2198,872.1696,6926.8084,777.2007,0.035707,0.004006,-25.9594,0.079471,DEAD
Stollberg→Liverpool,791,72,6000,sea,7409.6178,831.3728,6408.1339,719.0045,0.012719,0.001427,-34.9254,0.079471,DEAD
TF_400km,400,72,4000,sea,14652.5192,1644.0397,14834.4848,1664.4566,161.1903,18.0858,47.1323,0.079471,USABLE
TF_500km,500,72,4000,sea,11722.0154,1315.2318,10485.0206,1176.4387,9.4487,1.0602,22.4929,0.079471,USABLE
TF_700km,700,72,4000,sea,8372.8681,939.4513,5964.6844,669.2486,0.034299,0.003848,-26.3088,0.079471,DEAD
TF_800km,800,72,4000,sea,7326.2596,822.0198,4719.4365,529.5295,0.002103,2.36e-04,-50.5590,0.079471,DEAD
TF_1000km,1000,72,4000,sea,5861.0077,657.6159,3159.7207,354.5265,8.08e-06,9.06e-07,-98.8685,0.079471,DEAD
